,imge name and color,contrast,ASM,energy,homogeneity,dissimilarity,correlation,entropy
0,.\Acnedb/acneA1.jpg blue ,101.1578007,0.00152327865362,0.0390292033553,0.336498157216,3.74327713569,0.963148887412,0.455360076356
1,.\Acnedb/acneB1.jpg blue ,9.67016879399,0.00166274432559,0.0407767631114,0.450295023356,1.96828916644,0.992030309629,0.330229297367
2,.\Acnedb/acneC1.jpg blue ,103.705463481,0.0714486837387,0.267298877239,0.569089537835,2.49463455849,0.97273715777,0.345266140509
3,.\Acnedb/acneD1.jpg blue ,103.439439089,0.00067551061511,0.0259905867279,0.160702469378,7.26228117705,0.959097565933,0.682277232469
4,.\Acnedb/acneE1.jpg blue ,198.927391128,0.0567995533347,0.238326564431,0.478004311579,3.98457834219,0.971508642796,0.4318635101
5,.\Acnedb/acneF1.jpg blue ,68.7186516774,0.116303004324,0.341032266617,0.630931822355,1.98081929674,0.992332532383,0.340839141007
6,.\Acnedb/acneG1.jpg blue ,170.725994692,0.000515427906066,0.0227030366659,0.2337424411,5.74295588451,0.954461411459,0.704378712158
7,.\Acnedb/acneH1.jpg blue ,74.4210137388,0.00396020757034,0.0629301816225,0.447103624259,3.00507634338,0.981430243233,0.442777116993
8,.\Acnedb/acneI1.jpg blue ,100.438265481,0.1676774472,0.409484356642,0.616903053055,2.72028917037,0.982841559259,0.32608024931
9,.\Acnedb/acneA1.jpg red ,103.169285924,0.00179083202966,0.0423182249069,0.33246143292,3.73693174495,0.974584748636,0.422072863485
10,.\Acnedb/acneB1.jpg red ,10.1285302659,0.00186706322711,0.0432095266879,0.455414230501,1.93399197769,0.989937724707,0.300737260369
11,.\Acnedb/acneC1.jpg red ,226.46827492,0.0715854018927,0.267554491758,0.56019857622,3.50853014841,0.984533653412,0.361866434718
12,.\Acnedb/acneD1.jpg red ,111.785977009,0.000791649101302,0.0281362589449,0.16194448306,7.12367875372,0.965508317637,0.588954554542
13,.\Acnedb/acneE1.jpg red ,278.859826397,0.056765280664,0.238254651427,0.473776159928,4.46862654489,0.976036867389,0.410999576719
14,.\Acnedb/acneF1.jpg red ,95.7960969821,0.116380736232,0.341146200895,0.636662726387,2.12204017271,0.992927232312,0.320924522715
15,.\Acnedb/acneG1.jpg red ,270.080276495,0.00166304875165,0.0407804958522,0.260354636798,5.62276310647,0.902650022852,0.510453804121
16,.\Acnedb/acneH1.jpg red ,119.883504069,0.00413146521896,0.064276471734,0.449988730167,3.25834542276,0.981408155756,0.445371727438
17,.\Acnedb/acneI1.jpg red ,208.427966873,0.167627930641,0.40942388773,0.605910278428,3.45058634622,0.984177884835,0.341317478056
18,.\Acnedb/acneA1.jpg green ,101.298636275,0.00166063301731,0.0407508648932,0.340219620789,3.71347794109,0.960519229772,0.427020625267
19,.\Acnedb/acneB1.jpg green ,9.5916627757,0.0021037212573,0.0458663403988,0.457002235922,1.93126105238,0.988732491302,0.306333723633
20,.\Acnedb/acneC1.jpg green ,150.927215443,0.0717533305287,0.267868131399,0.5730748965,2.86809641569,0.981143345712,0.357191300615
21,.\Acnedb/acneD1.jpg green ,105.923053558,0.000715892994776,0.026756176725,0.161028650408,7.26303619417,0.953222411886,0.639216265237
22,.\Acnedb/acneE1.jpg green ,203.833094157,0.0568686947227,0.238471582532,0.483259288997,3.96761448898,0.968079694174,0.414642672431
23,.\Acnedb/acneF1.jpg green ,73.9093185558,0.11637108773,0.341132074594,0.639470885543,1.98999199104,0.992488697019,0.330531652371
24,.\Acnedb/acneG1.jpg green ,197.510300262,0.000550672295503,0.0234664082527,0.233582626822,5.83649805492,0.943720827686,0.67636426872
25,.\Acnedb/acneH1.jpg green ,83.2845798514,0.00404567783698,0.0636056438088,0.451178968198,3.04878718556,0.979193618589,0.432565236178
26,.\Acnedb/acneI1.jpg green ,145.847439866,0.167690977454,0.409500896931,0.617414391789,3.0200642887,0.98213577994,0.316437362555
27,.\Acnedb/acneA1.jpg grey ,100.495309237,0.001684741859,0.041045607061,0.340418829501,3.69174297189,0.965403367677,0.421722058252
28,.\Acnedb/acneB1.jpg grey ,9.54391967871,0.0020417714553,0.045185965247,0.460149497397,1.91191967871,0.989604992279,0.304629839453
29,.\Acnedb/acneC1.jpg grey ,161.134297189,0.0716250254028,0.267628521281,0.571657272925,2.98952610442,0.982124142819,0.352834232557
30,.\Acnedb/acneD1.jpg grey ,105.589413655,0.000728917791649,0.0269984775802,0.162309110679,7.17595180723,0.957664830106,0.627107361822
31,.\Acnedb/acneE1.jpg grey ,223.078473896,0.0568396757472,0.238410729094,0.481137325871,4.09546987952,0.971352694756,0.407535065769
32,.\Acnedb/acneF1.jpg grey ,79.2162088353,0.116393136885,0.341164383963,0.641183301064,2.01090763052,0.992631254642,0.32472203792
33,.\Acnedb/acneG1.jpg grey ,210.194136546,0.000694995758133,0.0263627722012,0.246883330559,5.65463453815,0.933191707106,0.626933746142
34,.\Acnedb/acneH1.jpg grey ,91.3355502008,0.00408932965597,0.0639478667038,0.456956556243,3.07681927711,0.980214425385,0.435819956153
35,.\Acnedb/acneI1.jpg grey ,156.936851406,0.167677542749,0.409484484137,0.614595830447,3.10295582329,0.98292719492,0.320740552818
